gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
CG44325,1056.741176,-2.579097781,0.717869327,-3.59271205,0.000327254,0.003369485,
CG2747,33.20007241,7.203347286,2.008821262,3.585857748,0.000335972,0.003453333,
mRpS9,40.7709509,8.471547814,2.367262341,3.578626529,0.000345405,0.003544229,
CG16791,42.59142736,8.534058331,2.386211666,3.57640458,0.000348352,0.003562318,
GluRS-m,48.87793606,8.733752629,2.441802916,3.576763944,0.000347874,0.003562318,
Gabat,45.28299207,6.823737678,1.908474987,3.575492331,0.000349569,0.003568694,
CG31278,50.82822897,7.821759255,2.189313581,3.572699371,0.00035332,0.003600873,
CG5726,94.17879362,5.686176283,1.591989794,3.571741669,0.000354615,0.003601859,
CG4797,31.63153446,7.134247898,1.997315021,3.571919213,0.000354375,0.003601859,
CG11247,44.40502699,8.594881373,2.416738473,3.556396965,0.000375976,0.003812382,
CR18166,36.65207639,8.31766888,2.339164143,3.555829507,0.000376788,0.003814189,
LPCAT,109.6038624,8.009685217,2.25370903,3.554001475,0.000379417,0.003834344,
