,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
atms,404.4302864,-0.161444561,1.848762541,-0.087325742,0.930412593,0.984993732,
ctrip,187.4141445,2.213510709,1.04587349,2.116422999,0.034308848,0.163161332,
Hus1-like,370.7147742,-1.274728822,1.730254681,-0.736729012,0.46128716,0.79818838,
CG1129,467.7096984,0.62692464,1.74943712,0.358357916,0.720075482,0.928609847,
CG14657,388.4147877,7.622339759,0.814403693,9.359412074,8.02E-21,4.71E-18,
Gnf1,190.7494228,2.327985722,1.832919966,1.270096767,0.204050163,0.530241759,
Cdep,592.7536532,7.221915543,1.275528081,5.661902432,1.50E-08,6.93E-07,
Ubc6,1521.681945,-0.373818465,0.65200441,-0.573337326,0.566416317,0.856766626,
CG2016,2464.59684,7.604161425,0.696498211,10.91770418,9.49E-28,1.86E-24,
corto,188.6582981,-0.683699259,1.604579929,-0.426092367,0.670040542,0.907862613,
CG12007,175.9162154,-0.176669764,1.121238555,-0.157566615,0.874798312,0.975005085,
cno,432.3243215,-0.078254844,2.022472326,-0.038692665,NA,NA,
CG1116,697.840946,-0.773914415,0.87752501,-0.881928614,0.377815412,0.729836243,
Sccpdh1,2114.957199,0.000943096,0.577829821,0.001632134,0.998697746,0.999797102,
Vps37B,1066.8024,0.046357237,0.751406609,0.061693943,0.950806563,0.990226963,
Kat60,75.2105771,1.938113849,2.108694648,0.919105974,0.358040145,0.713168408,
Mms19,187.9311105,-1.513253632,2.890941871,-0.523446579,0.600663517,0.874471216,
CG12163,1588.030822,-0.261624669,0.476063364,-0.549558501,0.582622229,0.864156816,
CG12173,794.8471225,-1.00215514,0.613256701,-1.634152775,0.102226776,0.342777517,
Hph,101.7068423,-0.07967863,2.697448209,-0.029538521,0.976435097,0.995898903,
mtd,671.5744774,-0.335007938,0.606246076,-0.55259399,0.580541458,0.863365964,
CG11999,1129.817418,-0.717339886,0.557061098,-1.287722098,0.197842718,0.520649273,
CG1161,1841.678057,-0.224123659,0.482624171,-0.464385483,0.642371589,0.895814994,
Prosbeta7,1745.889698,0.245443641,0.733234608,0.334740939,0.737820517,0.933655325,
Cerk,3.209046322,2.751229444,3.857577955,0.713201256,0.475721229,0.807273428,
RpII18,10367.67607,-1.124364584,0.555207688,-2.025124305,0.042854602,0.19083284,
hd,64.03990313,9.319127418,2.898009132,3.21569981,0.001301269,0.011877108,
CG14667,202.9516376,-0.942246294,2.715766508,-0.346954089,0.72862581,0.933602614,
kkv,205.8010415,1.774172459,2.214940001,0.801002491,0.423130204,0.767404917,
CG1172,147.9427504,0.078956965,2.4687509,0.031982556,0.974485962,0.995898903,
CG2663,830.6852349,7.1298136,1.019454032,6.99375683,2.68E-12,4.49E-10,
PEK,88.85981699,0.778859817,2.217882436,0.351172724,NA,NA,
RpL35A,2333.985641,0.130905767,0.303254303,0.431669939,0.665981318,0.906166248,
POLDIP2,341.0184448,0.888695212,1.805437396,0.492232638,0.622554894,0.887552187,
mRpL44,511.7381219,-0.795092966,1.780738851,-0.446496108,0.655238924,0.90156704,
Snr1,1379.094659,-1.106008294,0.740764982,-1.493062334,0.135420871,0.410734716,
ksr,156.7793208,10.61091321,2.277911787,4.658175644,3.19E-06,7.00E-05,
CG31550,192.9831362,9.947243614,1.898101458,5.240627982,1.60E-07,5.44E-06,
Itp-r83A,355.848656,-5.659643483,2.979316352,-1.899645024,NA,NA,
CG2519,493.1543427,0.637792248,1.734596251,0.367689165,0.71310502,0.926377095,
Pcmt,1678.096668,-1.444923418,0.829754534,-1.741386589,0.081615837,0.294317725,
Snm1,146.9495082,10.51733702,2.255077055,4.663848182,3.10E-06,6.88E-05,
Pi4KIIalpha,80.37017591,8.681274638,1.979278253,4.386080949,1.15E-05,0.000211996,
CG14671,751.8008261,-1.949050724,0.890436708,-2.188870591,0.028606247,0.143563328,
CG12746,282.4641315,-0.848503684,2.037574335,-0.416428333,0.677096599,0.91096463,
CG2931,243.1627718,0.002059782,1.697951904,0.001213098,0.999032088,0.999797102,
Rheb,959.6680778,-0.19648843,0.723719844,-0.271497917,0.786008101,0.950839558,
CRMP,33.95552236,-2.097612799,3.731899093,-0.562076505,NA,NA,
CG2926,373.5870814,2.220942809,1.747603291,1.270850668,0.203781779,0.529778549,
